run_id,stage,round_id,seed,scene_id,difficulty,planner,ablation_mode,success,time_ms,path_len,collision_checks,iters_used,goal_reached_iter,cuda_enabled,device_name,alpha_final,bridge_usage_ratio,failure_type,max_iters,sample_source_counts,alpha_trace,alpha_trace_stats,bridge_candidate_stats,leaf_plan_batches,cpu_gpu_consistency,image_path
MATRIX_rrt_2d_complex_baseline_0_1776755145052,MATRIX,0,0,2d_complex,complex,rrt,baseline,False,2301.425792000373,1.1951133072844857,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 57, ""bridge"": 0, ""uniform"": 643}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_0.png
MATRIX_rrt_2d_complex_baseline_1_1776755146159,MATRIX,0,1,2d_complex,complex,rrt,baseline,True,985.1328549993923,1.892142386520249,516,515,514,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 51, ""bridge"": 0, ""uniform"": 464}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_1.png
MATRIX_rrt_2d_complex_baseline_2_1776755146858,MATRIX,0,2,2d_complex,complex,rrt,baseline,True,568.6575489962706,1.9742253122996511,339,338,337,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 27, ""bridge"": 0, ""uniform"": 311}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_2.png
MATRIX_rrt_2d_complex_baseline_3_1776755148300,MATRIX,0,3,2d_complex,complex,rrt,baseline,False,1337.8747189999558,1.3998103171580716,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 58, ""bridge"": 0, ""uniform"": 642}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_3.png
MATRIX_rrt_2d_complex_baseline_4_1776755149060,MATRIX,0,4,2d_complex,complex,rrt,baseline,True,548.7495660054265,1.8083889367722354,302,301,300,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 11, ""bridge"": 0, ""uniform"": 290}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_4.png
MATRIX_rrt_2d_complex_baseline_5_1776755150637,MATRIX,0,5,2d_complex,complex,rrt,baseline,False,1477.303175997804,1.4933114880048808,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 82, ""bridge"": 0, ""uniform"": 618}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_5.png
MATRIX_rrt_2d_complex_baseline_6_1776755151353,MATRIX,0,6,2d_complex,complex,rrt,baseline,True,607.3640240065288,1.7781098421682473,326,325,324,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 28, ""bridge"": 0, ""uniform"": 297}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_6.png
MATRIX_rrt_2d_complex_baseline_7_1776755151857,MATRIX,0,7,2d_complex,complex,rrt,baseline,True,395.7293529965682,2.0391492893476166,220,219,218,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 16, ""bridge"": 0, ""uniform"": 203}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_7.png
MATRIX_rrt_2d_complex_baseline_8_1776755152600,MATRIX,0,8,2d_complex,complex,rrt,baseline,True,645.0388869998278,1.7748248319243172,331,330,329,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 31, ""bridge"": 0, ""uniform"": 299}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_8.png
MATRIX_rrt_2d_complex_baseline_9_1776755153222,MATRIX,0,9,2d_complex,complex,rrt,baseline,True,526.7407930077752,1.930360155656316,308,307,306,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 17, ""bridge"": 0, ""uniform"": 290}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_9.png
